Company,subs_initial,subs_final,max_qoq_abs,min_qoq_abs,max_qoq_pct,min_qoq_pct,positive_quarters,negative_quarters,total_growth_abs,total_growth_pct,volatility_pct,years,cagr
AMC Plus,4258800,5658100,527450.0,56700.0,10.280373831775691,1.3313609467455523,6,0,1399300,32.856673241288625,3.556705612671122,1.252054794520548,0.25471389481028917
AT&T TV Now,625044,602498,-22546.0,-22546.0,-3.6071060597333893,-3.6071060597333893,1,1,-22546,-3.607106059733395,,0.2493150684931507,-0.13701202039348803
Acorn TV,1745408,2655000,247500.0,26682.0,10.280373831775691,1.3352229224778078,8,0,909592,52.11343135816955,2.9526625932020085,1.7534246575342465,0.2702594614046121
Allblk,69583,119180,16361.0,2435.0,21.94958343954172,3.4994179612836573,8,0,49597,71.27746719744765,6.623444195326327,1.7534246575342465,0.35919623740031636
Amazon Prime Video,90037500,98820754,4455955.0,-1818757.0,4.999998990115673,-1.9999994501740836,7,1,8783254,9.75510648340969,2.0959139914947524,1.7534246575342465,0.05451978379391398
Apple TV+,18909651,28321810,3191003.0,-1223218.0,14.999996709499275,-4.999999795621068,6,2,9412159,49.77436653907573,8.107903115635645,1.7534246575342465,0.25908251922276526
Arrow Player,20226,33568,2336.0,1518.0,7.5290896646132754,7.479508196721318,8,0,13342,65.96460001977653,0.016958150816060565,1.7534246575342465,0.3349886368463828
AsianCrush,27309,31370,615.0,547.0,2.0030026731114203,1.9990849259141852,8,0,4061,14.870555494525615,0.0014136184913661782,1.7534246575342465,0.08227539811245088
BET+,882331,2338821,304047.0,131843.0,14.94257823877887,14.942488479054417,8,0,1456490,165.0729714812242,3.19837989379941e-05,1.7534246575342465,0.7436150390736844
Bally Sports+,55000,82500,27500.0,27500.0,50.0,50.0,2,0,27500,50.0,,0.25205479452054796,3.9960057547031242
BlazeTV+,457123,490098,4853.0,4571.0,1.000113344805209,0.9999146617378551,8,0,32975,7.213594590515025,6.722907237769962e-05,1.7534246575342465,0.04052344841728983
Bleacher Report Live,65950,68614,1345.0,1319.0,2.0000000000000018,1.999435103836844,3,0,2664,4.039423805913571,0.00039944190763506563,0.5013698630136987,0.08218596897772823
Boomerang,265358,326357,9506.0,7961.0,3.0001633998536503,2.999702005270155,8,0,60999,22.98743584139163,0.00018408755211760165,1.7534246575342465,0.12524918558907094
BossTV,25875,20377,6469.0,-8732.0,25.00096618357488,-29.997595245456733,2,2,-5498,-21.248309178743963,27.838429313273164,0.7534246575342466,-0.27170290564990085
Britbox,1260184,1946103,138620.0,76241.0,10.000047612094743,4.999967627622692,8,0,685919,54.43006735524336,2.4397590511144376,1.7534246575342465,0.28125667038961844
Broadway HD,7129,8189,161.0,142.0,2.0088128564022867,1.9918642165801748,8,0,1060,14.86884556038715,0.007103191588742615,1.7534246575342465,0.08226621007561863
Brown Sugar,4871,8343,1145.0,170.0,21.943273284783448,3.4900431122972586,8,0,3472,71.27899815233012,6.620430029085406,1.7534246575342465,0.35920316617406445
C Spire,125837,101674,-3145.0,-3775.0,-2.9992596705534003,-3.0004876010030657,1,7,-24163,-19.201824582594945,0.00040319151129401495,1.7534246575342465,-0.11449718005317866
Chaiflicks,11470,22340,2030.0,1140.0,10.026212319790307,9.938971229293813,8,0,10870,94.76896251089799,0.0315121075396193,1.7534246575342465,0.4625702422097644
