Company,country,KPI,fact_date,subscribers,qoq_abs,qoq_pct,rank_subscribers,rank_qoq_abs,rank_qoq_pct,is_decline,is_no_growth
AMC Plus,USA,SVOD subscribers,2021-09-30,4258800,,,14.0,,,False,False
AMC Plus,USA,SVOD subscribers,2021-12-31,4315500,56700.0,1.3313609467455523,16.0,24.0,94.0,False,False
AMC Plus,USA,SVOD subscribers,2022-03-31,4555250,239750.0,5.555555555555558,16.0,13.0,47.0,False,False
AMC Plus,USA,SVOD subscribers,2022-06-30,4938850,383600.0,8.421052631578952,15.0,9.0,25.0,False,False
AMC Plus,USA,SVOD subscribers,2022-09-30,5130650,191800.0,3.8834951456310662,15.0,15.0,57.0,False,False
AMC Plus,USA,SVOD subscribers,2022-12-31,5658100,527450.0,10.280373831775691,15.0,11.0,19.0,False,False
AT&T TV Now,USA,SVOD subscribers,2021-03-31,625044,,,31.0,,,False,False
AT&T TV Now,USA,SVOD subscribers,2021-06-30,602498,-22546.0,-3.6071060597333893,32.0,111.0,105.0,True,False
Acorn TV,USA,SVOD subscribers,2021-03-31,1745408,,,20.0,,,False,False
Acorn TV,USA,SVOD subscribers,2021-06-30,1867587,122179.0,7.000025209005578,20.0,18.0,45.0,False,False
Acorn TV,USA,SVOD subscribers,2021-09-30,1998318,130731.0,6.999995180947383,21.0,18.0,46.0,False,False
Acorn TV,USA,SVOD subscribers,2021-12-31,2025000,26682.0,1.3352229224778078,21.0,28.0,93.0,False,False
Acorn TV,USA,SVOD subscribers,2022-03-31,2137500,112500.0,5.555555555555558,21.0,20.0,47.0,False,False
Acorn TV,USA,SVOD subscribers,2022-06-30,2317500,180000.0,8.421052631578952,20.0,17.0,25.0,False,False
Acorn TV,USA,SVOD subscribers,2022-09-30,2407500,90000.0,3.8834951456310662,21.0,23.0,57.0,False,False
Acorn TV,USA,SVOD subscribers,2022-12-31,2655000,247500.0,10.280373831775691,20.0,17.0,19.0,False,False
Allblk,USA,SVOD subscribers,2021-03-31,69583,,,59.0,,,False,False
Allblk,USA,SVOD subscribers,2021-06-30,72018,2435.0,3.4994179612836573,60.0,59.0,58.0,False,False
Allblk,USA,SVOD subscribers,2021-09-30,74539,2521.0,3.5005137604487757,60.0,61.0,62.0,False,False
Allblk,USA,SVOD subscribers,2021-12-31,90900,16361.0,21.94958343954172,58.0,38.0,9.0,False,False
Allblk,USA,SVOD subscribers,2022-03-31,95950,5050.0,5.555555555555558,60.0,49.0,47.0,False,False
Allblk,USA,SVOD subscribers,2022-06-30,104030,8080.0,8.421052631578952,59.0,45.0,25.0,False,False
Allblk,USA,SVOD subscribers,2022-09-30,108070,4040.0,3.8834951456310662,57.0,56.0,57.0,False,False
Allblk,USA,SVOD subscribers,2022-12-31,119180,11110.0,10.280373831775691,57.0,45.0,19.0,False,False
Amazon Prime Video,USA,SVOD subscribers,2021-03-31,90037500,,,1.0,,,False,False
Amazon Prime Video,USA,SVOD subscribers,2021-06-30,90937875,900375.0,1.0000000000000009,1.0,8.0,91.0,False,False
Amazon Prime Video,USA,SVOD subscribers,2021-09-30,89119118,-1818757.0,-1.9999994501740836,1.0,112.0,109.0,True,False
Amazon Prime Video,USA,SVOD subscribers,2021-12-31,93575073,4455955.0,4.999998990115673,1.0,2.0,57.0,False,False
Amazon Prime Video,USA,SVOD subscribers,2022-03-31,94510824,935751.0,1.0000002885383719,1.0,7.0,93.0,False,False
Amazon Prime Video,USA,SVOD subscribers,2022-06-30,96873595,2362771.0,2.5000004232319517,1.0,3.0,61.0,False,False
Amazon Prime Video,USA,SVOD subscribers,2022-09-30,97842331,968736.0,1.0000000516136476,1.0,8.0,87.0,False,False
Amazon Prime Video,USA,SVOD subscribers,2022-12-31,98820754,978423.0,0.9999996831637326,1.0,5.0,97.0,False,False
Apple TV+,USA,SVOD subscribers,2021-03-31,18909651,,,6.0,,,False,False
Apple TV+,USA,SVOD subscribers,2021-06-30,21273358,2363707.0,12.500003305190566,6.0,3.0,20.0,False,False
Apple TV+,USA,SVOD subscribers,2021-09-30,24464361,3191003.0,14.999996709499275,5.0,2.0,15.0,False,False
Apple TV+,USA,SVOD subscribers,2021-12-31,23241143,-1223218.0,-4.999999795621068,6.0,117.0,113.0,True,False
